Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9
Phoenix,16,15.325,0.675,82.2204,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kowloon Cricket Club M3,16,11.3418,4.6582,63.2748,100.0,0.0,86.68,12.94,0.38,0.0,0.0,0.0,0.0,0.0
Hong Kong Football Club M3A,16,11.112,4.888,59.3996,100.0,0.0,13.200000000000001,82.42,4.38,0.0,0.0,0.0,0.0,0.0
Hong Kong Cricket Club M3,16,10.3864,5.6136,54.5938,100.00000000000001,0.0,0.12,4.64,95.24000000000001,0.0,0.0,0.0,0.0,0.0
Royal Hong Kong Yacht Club M3,16,5.84,10.16,46.2894,0.0,0.0,0.0,0.0,0.0,65.68,34.32,0.0,0.0,0.0
United Services Recreation Club M3,16,7.9794,8.0206,44.9338,0.0,0.0,0.0,0.0,0.0,34.32,65.68,0.0,0.0,0.0
Hong Kong Club Blue,16,4.951,11.049,31.8172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.28,47.72,0.0
Hong Kong Football Club M3B,16,4.5718,11.4282,31.3818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72,52.28,0.0
Bolton,16,0.4926,15.5074,18.089199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
