Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Energy Squash Club 1,15.0,40.0,80.0,8.333333333333329,100.0,48.666666666666664
Energy Squash Club 2,0.0,-20.0,50.0,80.0,66.66666666666666,35.33333333333333
X-Alpha 5,-50.0,33.33333333333333,46.66666666666666,46.66666666666666,100.0,35.33333333333333
Kinetic 4,0.0,20.0,40.0,-5.0,66.66666666666666,24.33333333333333
Sha Tin 6,16.666666666666657,16.666666666666657,66.66666666666667,-33.33333333333333,50.0,23.33333333333333
HKIS Div 13,-25.0,-25.0,75.0,-25.0,100.0,20.0
Yuen Long District Sports Association Limited,-50.0,-16.666666666666664,-16.666666666666664,80.0,80.0,15.333333333333336
i-Mask Advance Squash Club 5,-33.33333333333334,41.66666666666666,-16.66666666666667,0.0,50.0,8.333333333333329
Electrify Squash Div 13,-40.0,0.0,0.0,50.0,0.0,2.0
Happy Squash 4,-37.5,-29.16666666666667,-12.5,25.0,50.0,-0.8333333333333357
SocGen Squash,6.666666666666671,-40.0,50.0,-25.0,0.0,-1.6666666666666572
Fusion Squash Club 2,-26.666666666666657,-20.0,-6.666666666666657,13.333333333333343,-40.0,-16.0
