Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 12,4,4,0,22,18,2,0,0,0,0
Star River 1,4,3,1,16,13,7,0,0,0,0
Global Squash 2,4,2,2,12,10,10,0,0,0,0
Hong Kong Football Club 12A,4,2,2,11,9,11,0,3,0,0
Physical Chess 4,3,2,1,11,9,6,0,0,0,0
Hong Kong Football Club 12B,4,2,2,11,9,11,0,0,0,0
Winter Warriors,3,2,1,10,8,7,0,1,0,0
Sha Tin 5,3,1,2,8,7,8,0,0,0,0
CSD Squash Team,4,0,4,7,7,13,6,0,0,0
SKCSC Div 12,4,1,3,6,5,15,0,0,0,0
Latecomers,3,1,2,6,5,10,1,3,0,0
