Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,4,4,0,22,18,2,0,0,0,0
RELAY 1,4,4,0,21,17,3,0,0,0,0
Kwai Tsing District Squash Club,4,3,1,16,13,7,0,0,0,0
United Services Recreation Club 3,4,3,1,15,12,8,0,0,0,0
Thunder 2,4,2,2,14,12,8,0,0,0,0
Hong Kong Cricket Club D10,3,1,2,9,8,7,0,0,0,0
i-Mask Advance Squash Club 4,4,1,3,8,7,13,0,0,0,0
Squashathon Advance,3,1,2,4,3,12,0,0,0,0
Mercury,2,0,2,3,3,7,0,0,0,0
Banbil,3,0,3,2,2,13,0,0,0,0
Bravo D10,3,0,3,0,0,15,0,0,0,0
