Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,4,4,0,22,18,2,0,0,0,0
Uncles,4,3,1,14,11,9,0,0,0,0
Hong Kong Football Club 6C,4,2,2,13,11,9,0,0,0,0
Kowloon Cricket Club 6A,4,2,2,13,11,9,0,0,0,0
Hong Kong Football Club 6A,4,2,2,12,10,10,0,0,0,0
Fusion Squash Club 1,4,2,2,12,10,10,0,0,0,0
Ladies Recreation Club Div 6,3,2,1,12,10,5,0,3,0,0
Hong Kong Football Club 6B,4,2,2,10,8,12,0,0,0,0
Global Squash 1,4,1,3,10,9,11,0,0,0,0
Hong Kong Cricket Club D6,4,1,3,7,6,14,0,0,0,0
Electrify Squash Div 6,3,1,2,6,5,10,3,0,0,0
X-Alpha 3,2,0,2,1,1,9,0,0,0,0
