Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC 5,11,10,1,53
Hong Kong Football Club 5,11,8,3,44
Friend Club 2,11,6,5,34
YLJR 1,11,3,8,29
Sha Tin Squash Rackets Club 1,11,3,8,22
Energetic,11,3,8,16
