Team,Played,Won,Lost,Points
Hong Kong Cricket Club Rockettes,11,10,1,48
Hong Kong Football Club L3A,11,8,3,41
Friend Club Ladies,11,6,5,26
Hong Kong Football Club L3B,11,4,7,23
Perrier Ladies,11,3,8,17
Hong Kong Football Club L3C,11,2,9,9
