Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC 4,11,9,2,48
TNG 1,10,9,1,48
Hong Kong Football Club 4A,10,8,2,44
Friend Club 1,11,7,4,39
The New Generation X,11,6,5,32
Happy Squash Zang Bong,11,4,7,31
Hong Kong Football Club 4B,11,3,8,25
Smart Squash 1,11,2,9,15
United Services Recreation Club 1,10,0,10,6
