Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC 1,9,9,0,32
Young Player 1B,8,5,3,20
Hong Kong Football Club 1,8,4,4,17
Young Player 1A,8,3,5,11
FWD,9,0,9,4
