Team,Played,Won,Lost,Points
Hong Kong Football Club L1A,11,11,0,40
Perrier Sergio Tacchini KCC L1A,11,6,5,27
Hong Kong Cricket Club L1,11,6,5,22
Perrier Sergio Tacchini KCC L1B,9,5,4,18
Hong Kong Football Club L1B,10,2,8,9
Young Player L1,10,1,9,6
