Team,Played,Won,Lost,Points
Hong Kong Football Club 15,9,8,1,46
Invader Squash,9,8,1,40
Kinetic 3,10,5,5,29
i-Mask Advance Squash Club 6,9,4,5,24
Sha Tin Squash Rackets Club 4,9,3,6,22
Star River 2,10,3,7,22
7NT,10,2,8,15
