Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC 2B,10,10,0,44
Hong Kong Football Club 2,10,6,4,36
Perrier Sergio Tacchini KCC 2A,10,5,5,30
Young Player 2,9,2,7,18
Hong Kong Cricket Club 1,9,1,8,16
