Team,Played,Won,Lost,Points
Howards Folly Wine LRC Master 3,11,10,1,51
United Services Recreation Club M3,11,9,2,42
Hong Kong Cricket Club M3,11,7,4,40
Jaws Master,11,5,6,33
Hong Kong Football Club M3A,11,5,6,26
Friend Club Master,11,3,8,23
American Club - Yacht Club,10,2,8,22
Hong Kong Football Club M3B,10,2,8,20
