Team,Played,Won,Lost,Points
Banbil,11,10,1,52
Centre Squash,10,8,2,45
Hong Kong Football Club 13,10,8,2,40
Kinetic 2,11,5,6,36
Alpha CUHK,10,3,7,25
VISIONS,10,1,9,10
Vicci's Balls,10,1,9,8
