Team,Played,Won,Lost,Points
LCC,12,12,0,53
Martinis,12,8,4,43
i-Mask Advance Squash Club 5,12,8,4,39
Tuen Mun Squash Club,12,6,6,37
Boss,12,5,7,34
Hong Kong Racketlon Association 1,12,4,8,33
HKPF Squash Team,12,2,10,27
Relay 1,12,3,9,22
