Team,Played,Won,Lost,Points
Greenfield,9,9,0,43
Star River 1,10,5,5,35
Perrier Sergio Tacchini KCC 8,9,5,4,29
Physical Chess 3,9,5,4,27
North District Sports Association 1,9,4,5,26
ZOMA,10,3,7,21
Hong Kong Cricket Club Rockers,10,2,8,17
