Team,Played,Won,Lost,Points
Howards Folly Wine LRC Master 1,11,10,1,45
Hong Kong Football Club M1A,11,8,3,38
Hong Kong Football Club M1B,11,8,3,35
Hong Kong Cricket Club M1B,11,4,7,19
Hong Kong Cricket Club M1A,11,2,9,16
HK Club Gold,11,1,10,12
