Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Alpha CUHK,11,9,2,51,42,13,0,3,0,0
North District Sports Association 1,11,10,1,48,38,17,0,7,0,0
South China Athletic Association,11,9,2,47,38,17,0,5,0,0
Winter Warriors,11,7,4,45,38,17,4,1,0,0
Hong Kong Football Club 12A,11,9,2,43,34,21,0,4,0,0
Sea Bear,11,5,6,35,30,25,0,3,0,0
ZOMA,11,3,8,25,22,33,0,4,0,0
Star River 2,11,4,7,24,20,35,0,6,0,0
Hong Kong Football Club 12B,11,3,8,23,20,35,1,4,0,0
Hong Kong Racketlon Assoication 2,10,3,7,20,17,33,6,1,0,1
CSD Squash Team,10,2,8,17,16,34,18,0,1,0
Latecomers,11,1,10,11,10,45,10,1,0,0
