Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,10,10,0,46,36,14,0,0,0,0
Kinetic 3,10,8,2,37,29,21,0,0,0,0
BOSS,10,6,4,34,28,22,0,0,0,0
Tuen Mun Squash Club,10,6,4,33,27,23,0,0,0,0
Star River 1,11,5,6,33,28,27,0,0,0,0
The Squash Club 3,10,5,5,32,27,23,0,0,0,0
Global Squash 2,10,5,5,30,25,25,0,0,0,0
HKCC Tuesday Night Rockers,10,4,6,28,24,26,0,0,0,0
i-Mask Advance Squash Club 4,10,3,7,24,21,29,0,0,0,0
7NT,9,2,7,20,18,27,0,0,0,0
Invader Squash,10,1,9,13,12,38,0,0,0,0
