Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Hong Kong Football Club M2A,Hong Kong Football Club,3.75,2.75,1.0
Ladies Recreation Club M2,Ladies Recreation Club,2.75,1.875,0.875
Old Squash Fellows,Masters - HK Squash Centre,2.875,2.0,0.875
Hong Kong Football Club M2B,Hong Kong Football Club,2.625,1.875,0.75
Hong Kong Football Club M2C,Hong Kong Football Club,4.125,3.375,0.75
Hong Kong Cricket Club M2,Hong Kong Cricket Club,3.125,2.5,0.625
Titlows Squash Team,MTR Club House,0.75,0.25,0.5
United Services Recreation Club M2,United Services Recreation Club,3.25,3.125,0.125
Royal Hong Kong Yacht Club M2,Royal Hong Kong Yacht Club,1.875,2.125,-0.25
