Team,Played,Won,Lost,Points
Hong Kong Football Club M2A,10,8,2,42
Hong Kong Cricket Club M2,10,6,4,38
Hong Kong Football Club M2B,10,5,5,28
Ladies Recreation Club M2,9,4,5,25
United Services Recreation Club M2,9,1,8,11
