Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Sha Tin Squash Rackets Club Team 3,18,16,2,83,0,7,0,0,67,23
Squashathon Zero,18,14,4,80,0,3,0,3,66,24
Fusion Squash Club 2,18,14,4,72,9,3,0,5,58,32
Hong Kong Cricket Club 5,18,10,8,60,0,6,0,10,50,40
Smart Squash 1,18,11,7,58,4,7,5,5,52,38
Kinetic 1,18,8,10,54,0,5,0,10,46,44
TNG 3,18,7,11,45,4,10,0,0,38,52
YLJR 2,18,4,14,32,1,3,0,5,28,62
Friend Club 6,18,5,13,12,15,5,18,0,25,65
EdUHK,18,1,17,6,18,2,15,0,20,70
