Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
North District Sports Association 1,20,17,3,91,0,9,0,0,74,26
Kinetic 3,20,16,4,89,0,2,0,0,73,27
South China Athletic Association,20,15,5,85,0,7,0,0,70,30
ZOMA,20,14,6,78,0,6,0,2,64,36
Airporterz,20,12,8,75,0,12,0,0,63,37
Sha Tin Squash Rackets Club Team 6,20,12,8,59,0,1,0,2,47,53
Star River 3,20,10,10,59,0,0,0,2,49,51
Global Squash 2,20,7,13,47,0,3,0,0,40,60
Hong Kong Football Club 16,20,5,15,47,0,8,0,0,42,58
Latecomers,20,2,18,12,24,0,4,0,17,83
CSD,20,0,20,-4,24,0,2,0,11,89
