Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
i-Mask Advance Squash Club 8,18,17,1,95,3,15,0,0,78,12
Happy Squash 3,18,13,5,70,3,14,0,3,57,33
Vitality Squash 2,18,8,10,51,16,11,3,0,46,44
Fusion Squash Club 3,18,9,9,47,27,4,1,0,39,51
Smart Squash 2,18,7,11,43,13,16,0,0,36,54
Friend Club 7,18,5,13,39,3,11,0,1,34,56
TNG 5,18,4,14,29,10,4,0,0,25,65
