Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Sergio Tacchini KCC 8,18,14,4,75,0,0,0,0,61,29
Global 1,18,12,6,70,0,2,0,0,58,32
Physical Chess Squash Club Academy 2,18,13,5,66,0,0,0,0,53,37
Sha Tin Squash Rackets Club Team 2,18,12,6,64,0,0,0,0,52,38
Hong Kong Football Club 8A,18,8,10,57,0,0,0,0,49,41
TSC,18,8,10,53,0,0,0,1,45,45
Hong Kong Football Club 8B,18,8,10,48,0,0,0,0,40,50
Hong Kong Cricket Club 3,18,8,10,47,0,0,1,0,40,50
Twister 1,18,6,12,41,2,0,0,0,35,55
Friend Club 2,18,1,17,18,0,0,0,0,17,73
