Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Sergio Tacchini KCC 5A,18,17,1,96,0,4,0,0,79,11
Energetic,18,15,3,81,0,7,0,0,66,24
X - Alpha,18,14,4,80,0,2,0,0,66,24
Sha Tin Squash Rackets Club Team 1,18,12,6,67,0,0,0,0,55,35
Sergio Tacchini KCC 5B,18,9,9,56,2,1,0,0,47,43
Hong Kong Football Club 5,18,10,8,53,1,3,0,0,43,47
Hong Kong Cricket Club 2,18,5,13,42,4,4,0,0,37,53
Fusion Squash Club 1,18,5,13,38,10,0,0,1,33,57
Squashathon,18,3,15,25,0,3,0,0,22,68
Howard's Folly Wine LRC Div 5,18,0,18,1,8,1,1,0,2,88
