Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
LRC Div 19,18,17,1,91,0,7,0,3,74,16
Sha Tin Squash Rackets Club Team 7,18,16,2,84,0,1,0,0,68,22
Hong Kong Cricket Club 7,18,12,6,71,4,12,0,5,59,31
Sergio Tacchini KCC 19,18,11,7,59,10,3,1,3,49,41
Electrifing Squash,18,8,10,43,5,1,4,0,39,51
United Services Recreation Club 4,18,6,12,41,3,4,0,0,35,55
Fusion Squash Club 5,18,5,13,41,0,6,2,0,38,52
Vitality Squash 4,18,8,10,40,9,3,5,0,37,53
YLJR 3,18,4,14,31,15,11,0,0,27,63
i-Mask Advance Squash Club 9,18,3,15,27,3,1,0,1,24,66
