Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Howard's Folly Wine LRC Master 1,16,13,3,55,0,0,0,0,42,22
Hong Kong Cricket Club M1B,16,12,4,54,0,0,0,0,42,22
Hong Kong Football Club M1A,16,7,9,42,0,0,0,0,35,29
Hong Kong Cricket Club M1A,16,6,10,30,1,0,0,0,24,40
Hong Kong Football Club M1B,16,2,14,19,0,1,0,0,17,47
