Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Sergio Tacchini KCC M4,18,14,4,76,0,2,0,0,62,28
Phoenix,18,13,5,74,0,0,0,0,61,29
Hong Kong Football Club M4,18,12,6,66,0,2,0,0,54,36
United Services Recreation Club M4,18,8,10,59,0,10,0,0,51,39
Hong Kong Cricket Club M4,18,8,10,49,5,0,0,0,41,49
Bolton,18,7,11,43,3,0,0,5,36,54
Hong Kong Club Blue,18,1,17,6,6,0,5,0,10,80
