Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Hong Kong Cricket Club Rockettes,20,17,3,79,0,1,0,0,62,18
Hong Kong Football Club L3A,20,13,7,57,0,0,1,0,45,35
Hong Kong Football Club L3B,20,11,9,56,0,0,0,0,45,35
Hong Kong Football Club L3C,20,8,12,44,0,0,0,0,36,44
Smashin' Mochi,20,8,12,44,0,0,0,1,36,44
Friend Club Ladies,20,3,17,19,1,0,0,0,16,64
