Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,16,16,0,90,74,6,0,6,0,0
RELAY 1,15,12,3,67,55,20,0,1,0,0
Thunder 2,15,10,5,54,44,31,0,1,0,0
Banbil,16,9,7,51,42,38,8,0,0,0
Hong Kong Cricket Club D10,15,9,6,50,41,34,1,2,0,0
Kwai Tsing District Squash Club,15,8,7,50,42,33,0,1,0,0
United Services Recreation Club 3,15,7,8,43,36,39,0,0,0,0
Mercury,14,4,10,27,23,47,0,0,0,0
Squashathon Advance,14,4,10,24,20,50,1,0,0,0
i-Mask Advance Squash Club 4,15,2,13,23,21,54,2,0,0,0
Bravo D10,14,1,13,12,12,58,1,2,0,0
