Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1A,14,11,3,39,28,14,0,2,0,0
Hong Kong Football Club M1B,13,10,3,38,28,11,0,2,0,0
Hong Kong Cricket Club M1A,14,6,8,29,23,19,1,1,0,0
Hong Kong Cricket Club M1B,14,5,9,21,16,26,7,1,0,0
Squashathon M+,13,2,11,9,7,32,0,2,0,0
