Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,15,13,2,67,54,21,0,2,0,0
Hong Kong Football Club 7B,15,11,4,64,53,22,0,1,0,0
i-Mask Advance Squash Club 1,16,10,6,57,47,33,1,1,0,0
Hong Kong Football Club 7A,15,10,5,52,42,33,0,1,0,0
Hong Kong Cricket Club D7B,16,7,9,47,40,40,0,6,0,0
UST,15,9,6,45,39,36,1,1,3,0
Thunder 1,16,6,10,40,34,46,0,3,0,0
Hong Kong Cricket Club D7A,14,6,8,39,33,37,1,2,0,4
Social Squash Team,15,6,9,34,28,47,1,0,0,0
Xavier,15,5,10,34,29,46,13,0,0,0
Kinetic 1,16,1,15,21,21,59,1,1,1,0
