Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 5,16,13,3,66,53,27,0,0,0,0
Electrify Squash Div 11,15,12,3,64,52,23,0,0,0,0
Alpha CUHK,16,13,3,63,51,29,0,2,0,0
The Zero Squash Club D11,16,12,4,61,49,31,0,0,0,0
GMDBB,15,11,4,57,46,29,0,0,0,0
7NT,15,10,5,55,45,30,0,1,0,0
Sea Bear,16,5,11,37,32,48,1,0,0,0
South China Athletic Association,15,4,11,33,29,46,0,0,0,0
ZOMA,16,3,13,29,26,54,1,0,0,0
Invader Squash,15,2,13,23,21,54,1,0,0,0
Tuen Mun Squash Club,15,1,14,22,21,54,0,0,0,0
