Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,17,14,3,79,65,20,0,0,0,0
WAKO,17,12,5,65,53,32,0,1,0,0
Hong Kong Football Club M4A,17,11,6,60,49,36,0,0,0,0
Kowloon Cricket Club M4,17,11,6,60,49,36,0,0,0,0
Hong Kong Football Club M4B,17,10,7,59,49,36,0,2,0,0
United Services Recreation Club M4,17,7,10,56,49,36,1,0,0,0
Hong Kong Cricket Club M4,17,9,8,51,42,43,0,0,0,0
Bolton,17,4,13,31,27,58,2,0,0,0
Hong Kong Club Blue,17,3,14,25,22,63,0,0,0,0
Royal Hong Kong Yacht Club M4,17,4,13,24,20,65,0,0,0,0
