Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,16,14,2,74,60,20,0,8,0,0
Royal Hong Kong Yacht Club Div 12,16,12,4,69,57,23,0,0,0,1
Sha Tin 5,15,11,4,58,47,28,0,7,0,1
Physical Chess 4,15,10,5,58,48,27,0,6,0,0
Winter Warriors,15,10,5,53,44,31,1,2,1,0
Global Squash 2,15,8,7,47,39,36,0,0,0,0
Hong Kong Football Club 12A,16,8,8,45,37,43,1,7,0,0
Hong Kong Football Club 12B,15,6,9,35,29,46,0,4,0,0
SKCSC Div 12,16,4,12,31,27,53,0,4,0,0
CSD Squash Team,16,1,15,21,21,59,29,0,1,0
Latecomers,15,1,14,15,16,59,12,5,0,0
