Team,Most Games,Most Wins,Highest Win Percentage
Andy and Friends 1,"* Wong Ryan Chun Hung, Choi Yin Kwan (8)",Wong King Tat (5),Wong King Tat (100.0%)
Global 1,"Lau Yan Kiu, Chan Ming Yan Calvin (10)",Chan Lok Hin (8),Chan Lok Hin (100.0%)
HEAD SHATIN 2,Chan Marco Sin Hang (10),"Chan Marco Sin Hang, To Kai Kong, Lam Maurice Cheuk Him (5)",To Kai Kong (83.3%)
HKU 1,Ko Ho Tai (8),Ko Ho Tai (4),Ko Ho Tai (50.0%)
Hong Kong Cricket Club 6,Wong Jessica Po Sze (10),Wong Jessica Po Sze (6),Liang Xin (71.4%)
Hong Kong Football Club 6A,So Obadiah Sing Yan (9),So Obadiah Sing Yan (8),Tanner Julian (100.0%)
Hong Kong Football Club 6B,"Cheng Wilfred Wing Fai, Mountford Graham (8)",Mountford Graham (8),"Williams Joshua, Mountford Graham (100.0%)"
Kinetic 1,Tang Anfernee Tsz Wah (9),Tai Aaron Tsz Yeung (8),Tai Aaron Tsz Yeung (100.0%)
Ricci Hall Old Boys' Association,Chan Terence Yiu Ki (10),Chan Terence Yiu Ki (9),Chan Terence Yiu Ki (90.0%)
Twister 1,"Law Tom Kwok Keung, Fung Stephen Tsz Pan (10)",Law Tom Kwok Keung (4),"Law Tom Kwok Keung, Yip Mark Tuck Keong (40.0%)"
