Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club M3,Poole-Wilson Michael (14),Poole-Wilson Michael (10),Poole-Wilson Michael (71.4%)
Hong Kong Football Club M3A,Hathiramani Dinesh (19),"Hathiramani Dinesh, Li Samuel Kwok Sing (12)",Yeung Tak Keung (100.0%)
Hong Kong Football Club M3B,Padgaonkar Ashwin (17),Tanner Julian (10),Barton Jonathan (75.0%)
Kowloon Cricket Club M3,Choy Yuk Kwong Donnie (18),Choy Yuk Kwong Donnie (8),Detaramani Sunil (60.0%)
Old Squash Fellows,"Leung Dick Kan Fai, Poon Sunny Yat Sing, Chiu Vincent Man Shun (15)",Leung Dick Kan Fai (13),Leung Dick Kan Fai (86.7%)
Royal Hong Kong Yacht Club M3,Cheng Victor Kwok Wai (21),Cheng Victor Kwok Wai (19),Ho Yiu Wah Hendry (94.4%)
Titlows Squash Team,Au Ming Chung Sampson (21),Au Ming Chung Sampson (7),Au Ming Chung Sampson (33.3%)
United Services Recreation Club M3,"Bidal Jay, Freeman Neil (17)",Freeman Neil (16),"Chow Ming Hei Quincy, Cheng Jonathan Yee Fung, Leung Chung Yin (100.0%)"
