Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,6,6,0,29,23,7,0,1,0,0
Thunder 1,7,5,2,24,19,16,0,3,0,0
Hong Kong Football Club 7B,6,4,2,24,20,10,0,1,0,0
Hong Kong Football Club 7A,6,5,1,23,18,12,0,0,0,0
Hong Kong Cricket Club D7A,6,4,2,22,18,12,0,1,0,0
Hong Kong Cricket Club D7B,7,3,4,18,15,20,0,1,0,0
i-Mask Advance Squash Club 1,7,2,5,17,15,20,1,1,0,0
Xavier,6,2,4,15,13,17,6,0,0,0
UST,6,2,4,15,13,17,1,0,0,0
Social Squash Team,6,2,4,14,12,18,1,0,0,0
Kinetic 1,7,0,7,9,9,26,0,1,0,0
