Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,7,6,1,35,29,6,0,0,0,0
Twister,7,5,2,30,25,10,0,0,0,0
Centre Squash,7,6,1,27,21,14,0,2,0,0
Hong Kong Football Club 9,7,4,3,24,20,15,0,0,0,0
The Hong Kong Jockey Club Div 9,7,5,2,22,17,18,0,0,0,0
Kowloon Cricket Club 9,7,3,4,18,15,20,0,0,0,0
i-Mask Advance Squash Club 3,7,3,4,18,15,20,0,0,0,0
Kinetic 3,7,2,5,14,12,23,0,0,0,0
BOSS,7,1,6,12,11,24,1,0,0,0
HKPF Squash Team,7,0,7,10,10,25,1,0,0,0
