Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,7,7,0,40,33,2,0,1,0,0
RELAY 1,6,6,0,32,26,4,0,0,0,0
Thunder 2,7,5,2,27,22,13,0,0,0,0
United Services Recreation Club 3,7,4,3,22,18,17,0,0,0,0
Hong Kong Cricket Club D10,6,3,3,20,17,13,0,1,0,0
Kwai Tsing District Squash Club,6,3,3,19,16,14,0,0,0,0
Banbil,6,3,3,17,14,16,0,0,0,0
i-Mask Advance Squash Club 4,7,2,5,14,12,23,1,0,0,0
Squashathon Advance,6,2,4,11,9,21,0,0,0,0
Mercury,6,0,6,6,6,24,0,0,0,0
Bravo D10,6,0,6,2,2,28,1,0,0,0
