Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club L1A,6,5,1,18,13,5,0,1,0,0
JESSICA L1,6,3,3,12,9,9,0,1,0,0
Kowloon Cricket Club L1B,6,3,3,11,8,10,0,0,0,0
Hong Kong Football Club L1,5,2,3,11,9,6,0,0,0,0
Hong Kong Cricket Club L1,5,1,4,4,3,12,2,0,0,0
