Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
WAKO,7,6,1,30,24,11,0,0,0,0
Hong Kong Football Club M4A,7,5,2,27,22,13,0,0,0,0
SKCSC M4,7,5,2,26,21,14,0,0,0,0
Hong Kong Football Club M4B,7,4,3,23,19,16,0,0,0,0
Kowloon Cricket Club M4,7,4,3,23,19,16,0,0,0,0
Hong Kong Cricket Club M4,7,3,4,20,17,18,0,0,0,0
Hong Kong Club Blue,7,3,4,18,15,20,0,0,0,0
United Services Recreation Club M4,7,1,6,16,15,20,0,0,0,0
Bolton,7,2,5,15,13,22,0,0,0,0
Royal Hong Kong Yacht Club M4,7,2,5,12,10,25,0,0,0,0
