Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 4,7,7,0,36,29,6,0,1,0,0
YLJR,7,5,2,28,23,12,1,0,0,0
TNGX,7,4,3,28,24,11,0,2,0,0
X-Alpha 2,7,5,2,26,21,14,1,1,0,0
Sha Tin 1,7,4,3,21,17,18,0,0,0,0
Hong Kong Football Club 4A,7,3,4,20,17,18,1,0,0,0
Hong Kong Football Club 4B,7,3,4,18,15,20,1,0,0,0
The Squash Club 1,7,2,5,14,12,23,0,1,0,0
Hong Kong Cricket Club D4B,7,1,6,10,9,26,0,0,0,0
Hong Kong Cricket Club D4A,7,1,6,9,8,27,1,0,0,0
