Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10
Kowloon Cricket Club 6B,18,17.124024804960992,0.8759751950390078,84.31526305261052,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Services Recreation Club 2,18,11.732346469293859,6.267653530706141,66.84476895379076,99.6999399879976,0.0,83.71674334866974,14.502900580116023,1.4802960592118424,0.30006001200240046,0.0,0.0,0.0,0.0,0.0
Kowloon Cricket Club 6A,18,10.847769553910782,7.152230446089218,63.27785557111422,98.85977195439087,0.0,15.723144628925786,77.11542308461692,6.021204240848169,1.0602120424084818,0.08001600320064013,0.0,0.0,0.0,0.0
Hong Kong Football Club 6B,18,10.046809361872374,7.953190638127626,57.087017403480694,56.651330266053215,0.0,0.08001600320064013,5.121024204840968,51.4502900580116,35.50710142028406,6.341268253650729,1.2002400480096018,0.30006001200240046,0.0,0.0
Hong Kong Cricket Club 4,18,9.282256451290259,8.717743548709741,56.2126425285057,37.82756551310263,0.0,0.48009601920384076,3.1006201240248052,34.24684936987398,41.068213642728544,15.923184636927385,4.580916183236647,0.6001200240048009,0.0,0.0
Hong Kong Football Club 6C,18,8.174034806961393,9.825965193038607,52.79915983196639,5.96119223844769,0.0,0.0,0.08001600320064013,5.881176235247049,16.903380676135228,43.04860972194439,25.145029005801163,8.941788357671534,0.0,0.0
Hong Kong Football Club 6A,18,8.123424684936987,9.876575315063013,50.57931586317264,0.9201840368073616,0.0,0.0,0.08001600320064013,0.8401680336067214,4.220844168833767,23.144628925785156,38.42768553710742,33.28665733146629,0.0,0.0
Global Squash 1,18,8.976995399079815,9.023004600920185,48.75075015003001,0.08001600320064013,0.0,0.0,0.0,0.08001600320064013,0.9401880376075216,11.462292458491698,30.64612922584517,56.87137427485497,0.0,0.0
Friend Club 3,18,3.0414082816563313,14.95859171834367,32.329865973194636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5377075415083,11.462292458491698
Social Squash Team,18,2.6509301860372076,15.349069813962792,27.803360672134428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.462292458491698,88.5377075415083
