Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
Electrify Squash Div 19,v,United Services Recreation Club 4,HK Squash Centre,17:00,"5-0(3-0,3-0,3-0,3-0,3-1)",8,06/01/2024
Hong Kong Football Club 19,v,X-Alpha 6,Hong Kong Football Club,17:00,"5-0(3-0,3-0,3-0,3-0,3-0)",8,06/01/2024
TNG 3,v,The 8 Virtues,Cornwall Street Squash Centre,17:00,"3-2(0-3,0-3,3-2,3-1,3-0)",8,06/01/2024
RELAY 2,v,Sha Tin Squash Rackets Club 8,Sir Denys Roberts Squash Court,17:00,"4-1(1-3,3-0,3-0,3-1,3-1)",8,06/01/2024
Hong Kong International School D19,v,SocGen Squash,HK Squash Centre,17:00,"0-5(0-3,0-3,1-3,0-3,CR)",8,06/01/2024
SocGen Squash,v,8 Virtues + 1,HK Squash Centre,17:00,"3-2(1-3,3-0,3-0,0-3,3-0)",9,13/01/2024
Sha Tin Squash Rackets Club 8,v,Hong Kong International School D19,Cornwall Street Squash Centre,17:00,"2-3(0-3,3-0,3-0,2-3,2-3)",9,13/01/2024
The 8 Virtues,v,RELAY 2,HK Squash Centre,17:00,"5-0(3-0,3-2,3-0,3-0,3-1)",9,13/01/2024
X-Alpha 6,v,TNG 3,Cornwall Street Squash Centre,17:00,"2-3(3-0,1-3,3-1,0-3,0-3)",9,13/01/2024
United Services Recreation Club 4,v,Hong Kong Football Club 19,United Services Recreation Club,17:00,"0-5(1-3,0-3,0-3,0-3,2-3)",9,13/01/2024
Squashathon 2,v,Electrify Squash Div 19,HK Squash Centre,17:00,"2-3(3-2,0-3,3-1,1-3,0-3)",9,13/01/2024
8 Virtues + 1,v,Electrify Squash Div 19,HK Squash Centre,17:00,"2-3(0-3,2-3,0-3,3-0,3-0)",10,20/01/2024
Hong Kong Football Club 19,v,Squashathon 2,Hong Kong Football Club,17:00,"2-3(0-3,0-3,0-3,3-0,3-0)",10,20/01/2024
TNG 3,v,United Services Recreation Club 4,Cornwall Street Squash Centre,17:00,"4-1(3-1,3-0,3-1,3-1,2-3)",10,20/01/2024
RELAY 2,v,X-Alpha 6,Sir Denys Roberts Squash Court,17:00,"5-0(CR,CR,CR,CR,CR)",10,20/01/2024
Hong Kong International School D19,v,The 8 Virtues,HK Squash Centre,17:00,"1-4(2-3,0-3,2-3,3-0,0-3)",10,20/01/2024
SocGen Squash,v,Sha Tin Squash Rackets Club 8,HK Squash Centre,17:00,"4-1(3-1,1-3,3-0,3-1,CR)",10,20/01/2024
Sha Tin Squash Rackets Club 8,v,8 Virtues + 1,Cornwall Street Squash Centre,17:00,"1-4(3-0,0-3,0-3,0-3,0-3)",11,27/01/2024
The 8 Virtues,v,SocGen Squash,HK Squash Centre,17:00,"1-4(0-3,0-3,0-3,3-0,2-3)",11,27/01/2024
X-Alpha 6,v,Hong Kong International School D19,Cornwall Street Squash Centre,17:00,"3-2(2-3,3-1,3-0,0-3,3-0)",11,27/01/2024
United Services Recreation Club 4,v,RELAY 2,United Services Recreation Club,17:00,"4-1(3-0,0-3,3-0,3-0,CR)",11,27/01/2024
Squashathon 2,v,TNG 3,HK Squash Centre,17:00,"3-2(3-0,3-0,3-0,0-3,0-3)",11,27/01/2024
Electrify Squash Div 19,v,Hong Kong Football Club 19,Cornwall Street Squash Centre,17:00,"3-2(3-0,3-0,3-0,0-3,0-3)",11,27/01/2024
8 Virtues + 1,v,Hong Kong Football Club 19,HK Squash Centre,17:00,"0-5(1-3,0-4,WO,WO,CR)",12,03/02/2024
