Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
TNG 1,v,JAVA,Cornwall Street Squash Centre,19:00,"4-1(2-3,3-0,3-1,3-0,3-0)",1,06/10/2023
Physical Chess 3,v,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,19:00,"4-1(3-0,3-0,2-3,3-2,3-0)",1,06/10/2023
YLJR 2,v,Smart Squash 1,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",1,06/10/2023
Friend Club 4,v,[BYE],,,,1,06/10/2023
Smart Squash 1,v,Friend Club 4,Tai Po Sports Ground,19:00,"4-1(3-0,3-0,1-3,3-0,CR)",2,13/10/2023
YLJR 2,v,Physical Chess 3,Cornwall Street Squash Centre,19:00,"3-2(3-0,3-2,3-0,0-3,0-3)",2,13/10/2023
i-Mask Advance Squash Club 4,v,TNG 1,Cornwall Street Squash Centre,19:00,"2-3(0-3,1-3,1-3,WO,WO)",2,13/10/2023
JAVA,v,[BYE],,,,2,13/10/2023
JAVA,v,i-Mask Advance Squash Club 4,HK Squash Centre,19:00,"2-3(3-0,1-3,3-0,1-3,2-3)",3,20/10/2023
TNG 1,v,YLJR 2,Cornwall Street Squash Centre,19:00,"1-4(0-3,1-3,1-3,0-3,3-0)",3,20/10/2023
Physical Chess 3,v,Friend Club 4,Cornwall Street Squash Centre,19:00,"5-0(3-0,3-1,3-0,3-0,3-0)",3,20/10/2023
Smart Squash 1,v,[BYE],,,,3,20/10/2023
Smart Squash 1,v,Physical Chess 3,Tai Po Sports Ground,19:00,"4-1(3-1,3-2,3-1,3-1,0-3)",4,03/11/2023
Friend Club 4,v,TNG 1,Cornwall Street Squash Centre,19:00,"0-5(0-3,0-3,0-3,0-3,0-3)",4,03/11/2023
YLJR 2,v,JAVA,Cornwall Street Squash Centre,19:00,"2-3(1-3,3-1,3-0,0-3,CR)",4,03/11/2023
i-Mask Advance Squash Club 4,v,[BYE],,,,4,03/11/2023
i-Mask Advance Squash Club 4,v,YLJR 2,Cornwall Street Squash Centre,19:00,"0-5(1-3,0-3,0-3,1-3,1-3)",5,10/11/2023
JAVA,v,Friend Club 4,HK Squash Centre,19:00,"2-3(1-3,2-3,3-0,1-3,CR)",5,10/11/2023
TNG 1,v,Smart Squash 1,Cornwall Street Squash Centre,19:00,"3-2(0-3,3-0,0-3,3-2,3-0)",5,10/11/2023
Physical Chess 3,v,[BYE],,,,5,10/11/2023
Physical Chess 3,v,TNG 1,Cornwall Street Squash Centre,19:00,"3-2(2-3,3-2,2-3,3-2,CR)",6,17/11/2023
Smart Squash 1,v,JAVA,Tai Po Sports Ground,19:00,"5-0(CR,CR,CR,CR,CR)",6,17/11/2023
