Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3
FWD,Hong Kong Cricket Club D1,HK Squash Centre,1,30/10/2025,1-2,"['0-3', '1-3', '3-0']",1,2,4,6,home,Hong Kong Cricket Club D1,Hong Kong Cricket Club D1,FWD
Kowloon Cricket Club 1A,Kowloon Cricket Club 1B,Kowloon Cricket Club,1,30/10/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,shared_home,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A,Kowloon Cricket Club 1A
Hong Kong Football Club 1A,Hong Kong Football Club 1B,Hong Kong Football Club,1,30/10/2025,3-0,"['3-0', '3-0', '3-0']",3,0,9,0,shared_home,Hong Kong Football Club 1A,Hong Kong Football Club 1A,Hong Kong Football Club 1A
Kowloon Cricket Club 1B,Hong Kong Cricket Club D1,Kowloon Cricket Club,2,06/11/2025,1-2,"['0-3', '2-3', '3-0']",1,2,5,6,home,Hong Kong Cricket Club D1,Hong Kong Cricket Club D1,Kowloon Cricket Club 1B
FWD,Hong Kong Football Club 1B,HK Squash Centre,2,06/11/2025,0-3,"['0-3', '0-3', '0-3']",0,3,0,9,home,Hong Kong Football Club 1B,Hong Kong Football Club 1B,Hong Kong Football Club 1B
Kowloon Cricket Club 1A,Hong Kong Football Club 1A,Kowloon Cricket Club,2,06/11/2025,0-3,"['0-3', '2-3', '1-3']",0,3,3,9,home,Hong Kong Football Club 1A,Hong Kong Football Club 1A,Hong Kong Football Club 1A
FWD,Kowloon Cricket Club 1A,HK Squash Centre,3,20/11/2025,2-1,"['3-2', '1-3', '3-1']",2,1,7,6,home,FWD,Kowloon Cricket Club 1A,FWD
Hong Kong Cricket Club D1,Hong Kong Football Club 1B,Hong Kong Cricket Club,3,20/11/2025,1-2,"['1-3', '3-0', '0-3']",1,2,4,6,home,Hong Kong Football Club 1B,Hong Kong Cricket Club D1,Hong Kong Football Club 1B
