Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,9,8,1,42,34,11,0,6,0,0
Greenfield,9,8,1,42,34,11,0,7,0,0
Royal Hong Kong Yacht Club Div 13,9,7,2,37,30,15,0,3,0,0
TNG 2,9,7,2,36,30,15,3,4,1,0
Squashathon PLZ,9,4,5,29,25,20,0,2,0,0
Arctic Circle,9,4,5,26,22,23,5,3,0,0
North District Sports Association 2,9,4,5,24,20,25,0,0,0,0
Bravo D13,9,3,6,22,19,26,4,7,0,0
M&M Squash,9,4,5,21,18,27,0,0,0,0
Physical Chess 4,9,1,8,16,15,30,7,1,0,0
Star River 3,9,2,7,15,13,32,0,0,0,1
Vitality Squash 3,9,2,7,12,10,35,14,0,0,0
