Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,9,8,1,39,31,14,0,7,0,0
Alpha CUHK,9,7,2,39,32,13,0,2,0,0
Winter Warriors,9,6,3,38,32,13,4,1,0,0
South China Athletic Association,9,7,2,37,30,15,0,3,0,0
Hong Kong Football Club 12A,9,7,2,34,27,18,0,3,0,0
Sea Bear,9,4,5,29,25,20,0,0,0,0
ZOMA,9,3,6,23,20,25,0,4,0,0
Star River 2,9,4,5,21,17,28,0,6,0,0
Hong Kong Racketlon Assoication 2,9,3,6,20,17,28,4,1,0,1
Hong Kong Football Club 12B,9,2,7,17,15,30,0,3,0,0
CSD Squash Team,9,2,7,16,15,30,15,0,1,0
Latecomers,9,1,8,10,9,36,8,1,0,0
