Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,9,9,0,44,35,10,0,0,0,0
X-Alpha 2,9,7,2,36,29,16,0,1,0,0
Physical Chess 1,9,7,2,33,26,19,0,3,0,0
Hong Kong Racketlon Association 1,9,5,4,29,24,21,0,0,0,0
Uncle,9,4,5,27,23,22,0,1,0,1
Happy Squash 2,9,4,5,26,22,23,2,0,0,0
The Squash Club 1,9,3,6,24,21,24,0,1,0,0
Squashathon,9,4,5,23,20,25,0,2,1,0
Hong Kong Football Club 5B,9,2,7,18,16,29,4,0,0,0
i-Mask Advance Squash Club 1,9,0,9,9,9,36,2,0,0,0
