Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,9,9,0,45,36,9,0,0,0,0
United Services Recreation Club 2,9,7,2,39,32,13,0,0,0,0
Kowloon Cricket Club 6A,9,5,4,30,25,20,0,0,0,0
Hong Kong Cricket Club 4,9,5,4,29,24,21,0,0,0,0
Hong Kong Football Club 6A,9,5,4,27,22,23,0,0,0,0
Hong Kong Football Club 6B,9,4,5,25,21,24,0,0,0,0
Global Squash 1,9,4,5,23,19,26,0,0,0,0
Hong Kong Football Club 6C,9,3,6,23,20,25,0,0,0,0
Friend Club 3,9,2,7,19,17,28,0,0,0,0
Social Squash Team,9,1,8,10,9,36,0,0,0,0
