Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
SKCSC M4,91.66666666666666,58.333333333333336,58.333333333333336,66.66666666666666,75.0,70.0,60
Hong Kong Football Club M4A,58.333333333333336,83.33333333333334,75.0,50.0,58.333333333333336,65.0,60
WAKO,75.0,41.66666666666667,50.0,83.33333333333334,75.0,65.0,60
Hong Kong Cricket Club M4,58.333333333333336,58.333333333333336,66.66666666666666,41.66666666666667,41.66666666666667,53.333333333333336,60
United Services Recreation Club M4,50.0,33.33333333333333,50.0,66.66666666666666,66.66666666666666,53.33333333333333,60
Hong Kong Football Club M4B,33.33333333333333,66.66666666666666,75.0,63.63636363636363,27.27272727272727,53.18181818181817,58
Kowloon Cricket Club M4,33.33333333333333,75.0,66.66666666666666,50.0,33.33333333333333,51.666666666666664,60
Bolton,66.66666666666666,33.33333333333333,0.0,27.27272727272727,36.36363636363637,32.72727272727273,58
Hong Kong Club Blue,16.666666666666664,16.666666666666664,33.33333333333333,41.66666666666667,50.0,31.666666666666664,60
Royal Hong Kong Yacht Club M4,16.666666666666664,33.33333333333333,25.0,8.333333333333332,33.33333333333333,23.333333333333332,60
