Team,Most Games,Most Wins,Highest Win Percentage
HKIS Div 15,"Verma Kanay, Chum Dylan Dzongsar (8)",Verma Kanay (7),Verma Kanay (87.5%)
Hong Kong Cricket Club 8,Huang William Yijia (9),Huang William Yijia (5),Heng Ashton (80.0%)
Physical Chess 5,Wong Ho Tong (9),"Wong Ho Tong, Chan Yuen Hei (6)",Tin Nok Lam (83.3%)
Royal Hong Kong Yacht Club Div 15,Chiu Yee Lai (10),Chiu Yee Lai (9),Dong Ka Chung Jacky (100.0%)
Sha Tin 7,Wong Tsz Him (9),Lee Man Yu (6),Lee Man Yu (85.7%)
Squashathon One,Chow Qing (9),Wong Tsz Wang Clayton (7),Wong Tsz Wang Clayton (87.5%)
United Services Recreation Club 4,Morris Brandon Quinn (10),Morris Brandon Quinn (10),"Morris Brandon Quinn, Lee Chun Yuen Aiden (100.0%)"
