Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,17,17,0,81,64,21,0,0,0,0
Kowloon Cricket Club 6A,17,11,6,63,52,33,0,0,0,0
United Services Recreation Club 2,17,11,6,63,52,33,0,0,0,0
Hong Kong Cricket Club 4,17,10,7,57,47,38,0,0,0,0
Hong Kong Football Club 6B,17,9,8,52,43,42,0,1,0,0
Hong Kong Football Club 6C,17,7,10,49,42,43,0,0,0,0
Global Squash 1,17,9,8,48,39,46,0,0,0,0
Hong Kong Football Club 6A,17,7,10,47,40,45,0,0,0,0
Friend Club 3,17,2,15,26,24,61,1,0,0,0
Social Squash Team,17,2,15,24,22,63,0,0,0,0
