Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,10,8,2,31,23,7
Hong Kong Football Club M1A,9,6,3,22,16,11
Hong Kong Cricket Club M1B,9,5,4,20,15,12
Hong Kong Cricket Club M1A,11,3,8,14,11,22
Ladies Recreation Club M1,9,2,7,9,7,20
