Home Team,Away Team,Venue,Match Week,Date
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,17,2025-03-22
Squashathon MeGa,Squash-On,HK Squash Centre,17,2025-03-22
Fusion Squash Club 3,i-Mask Advance Squash Club 6,HK Squash Centre,17,2025-03-22
TNG 3,RELAY 2,Cornwall Street Squash Centre,17,2025-03-22
