Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,Wu Chi Wai (17),Wu Chi Wai (14),Wu Chi Wai (82.4%)
Bravo D13,Zhang Fei (12),Zhang Ruitao (7),Zhang Ruitao (70.0%)
Greenfield,Chan Kwok Wa (18),Chan Kwok Wa (16),Ku Desmond Yuk Yan (90.0%)
M&M Squash,Lam Ngo Sze Osee (16),Wong Marcus (10),Wong Marcus (71.4%)
North District Sports Association 2,Leung Yat Hei (18),"Dogra Vijendra Singh Balbirsing, Tsang Man Chiu (11)",Dogra Vijendra Singh Balbirsing (78.6%)
Physical Chess 4,"Yuen Lok Hang, Chan Cheuk Nam (17)",Yuen Lok Hang (14),Yuen Lok Hang (82.4%)
Royal Hong Kong Yacht Club Div 13,"Clayton Iain Michael, Zirah Pierre-Alexis Joachim (17)",Zirah Pierre-Alexis Joachim (13),Onillon Jean-Charles (100.0%)
Squashathon PLZ,Leung Ka Luen Wilson (17),Leung Ka Luen Wilson (10),Loo Long Hui (85.7%)
Star River 3,Wong Bao Kwong Chi (17),Wai Veronica Chi Man (11),Wai Veronica Chi Man (73.3%)
TNG 1,Tam Tsz Lung (14),"Luk Hoi Fai, Kwok Yau Yau, Kwok To Yan (11)",Luk Hoi Fai (100.0%)
TNG 2,Chan Hong Ting (17),Chan Hong Ting (17),Chan Hong Ting (100.0%)
Vitality Squash 3,Luk Argen (18),Chen Marshall Youpeng (9),Sun Jacob Jia-Wei (66.7%)
