Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
United Services Recreation Club 2,2,2,0,10,8,2,0,0,0,0
Kowloon Cricket Club 6B,2,2,0,9,7,3,0,0,0,0
Kowloon Cricket Club 6A,2,1,1,8,7,3,0,0,0,0
Hong Kong Cricket Club 4,2,1,1,7,6,4,0,0,0,0
Hong Kong Football Club 6A,2,1,1,6,5,5,0,0,0,0
Friend Club 3,2,1,1,6,5,5,0,0,0,0
Social Squash Team,2,1,1,5,4,6,0,0,0,0
Hong Kong Football Club 6B,2,1,1,4,3,7,0,0,0,0
Hong Kong Football Club 6C,2,0,2,3,3,7,0,0,0,0
Global Squash 1,2,0,2,2,2,8,0,0,0,0
