Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Hong Kong Football Club M4B,100.0,100.0,0.0,-50.0,0.0,30.0
WAKO,-100.0,-66.66666666666666,66.66666666666667,33.33333333333334,66.66666666666667,1.4210854715202004e-14
United Services Recreation Club M4,-50.0,0.0,-50.0,0.0,50.0,-10.0
Hong Kong Club Blue,0.0,-100.0,-66.66666666666667,100.0,0.0,-13.333333333333336
Kowloon Cricket Club M4,-50.0,25.0,25.0,-50.0,-25.0,-15.0
Hong Kong Football Club M4A,-50.0,0.0,-50.0,-50.0,0.0,-30.0
Hong Kong Cricket Club M4,-50.0,-100.0,-100.0,50.0,0.0,-40.0
