Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc
Hong Kong Football Club 1A,0.0,-50.0,0.0,-16.666666666666664
Kowloon Cricket Club 1A,0.0,-50.0,0.0,-16.66666666666667
Hong Kong Cricket Club D1,-66.66666666666667,-33.33333333333334,33.33333333333333,-22.222222222222236
Kowloon Cricket Club 1B,0.0,-100.0,0.0,-33.333333333333336
FWD,-66.66666666666667,-100.0,66.66666666666666,-33.33333333333334
