Team Name,Home,Average Home Score,Average Away Score,Difference
ROVERS,Cornwall Street (CSPSC),3.8,1.75,2.05
i-MASK Advance Squash Club 11,Cornwall Street (CSPSC),3.8,2.6,1.1999999999999997
Kwai Tsing District Squash Club 1,Cornwall Street (CSPSC),4.8,3.8,1.0
Police 2,Police Sports & Recreation Club (PSRC),2.4444444444444446,1.5,0.9444444444444446
Kinetic 5,HK Squash Centre (HKSC),3.7,3.0,0.7000000000000002
Tuen Mun Squash Club 2,Cornwall Street (CSPSC),5.0,4.4,0.5999999999999996
Craigengower Cricket Club,Craigergower Cricket Club (CCC),0.625,0.1111111111111111,0.5138888888888888
DS,Kwun Chung (KCSC),1.0,0.75,0.25
Mark Six,Kwun Chung (KCSC),1.6666666666666667,1.4444444444444444,0.22222222222222232
BRAVO,Cornwall Street (CSPSC),4.6,4.4,0.1999999999999993
Friend Club 8,Cornwall Street (CSPSC),2.25,3.6666666666666665,-1.4166666666666665
