Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Football Club 19,Hong Kong Football Club (HKFC),3.8181818181818183,3.1,0.7181818181818183
Friend Club 10,Cornwall Street (CSPSC),2.8333333333333335,2.1666666666666665,0.666666666666667
i-Mask Advance Squash Club 16,Cornwall Street (CSPSC),2.6,2.0,0.6000000000000001
Hong Kong Cricket Club Junior 3,Hong Kong Cricket Club (HKCC),3.272727272727273,2.727272727272727,0.5454545454545459
Head Shatin 7,Cornwall Street (CSPSC),4.6,4.166666666666667,0.4333333333333327
RELAY 3,Sir Denys Roberts (SDRSC),2.0,1.6363636363636365,0.36363636363636354
The Zero Squash Club 5,Cornwall Street (CSPSC),4.333333333333333,4.0,0.33333333333333304
HDSC 1,Kwun Chung (KCSC),2.090909090909091,2.111111111111111,-0.020202020202020332
That's 5,Cornwall Street (CSPSC),4.142857142857143,4.166666666666667,-0.023809523809523725
Dr. Squash 4,Cornwall Street (CSPSC),0.6,0.8333333333333334,-0.2333333333333334
Dr. Squash 5,HK Squash Centre (HKSC),0.45454545454545453,0.8,-0.3454545454545455
KYS 2,Java Road (JRSC),1.7272727272727273,2.272727272727273,-0.5454545454545456
