Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Cricket Club Junior 2,Hong Kong Cricket Club (HKCC),4.454545454545454,3.272727272727273,1.1818181818181812
Sprouts,HK Squash Centre (HKSC),2.857142857142857,1.8571428571428572,1.0
i-Mask Advance Squash Club 15,Cornwall Street (CSPSC),4.4,3.5555555555555554,0.844444444444445
Firebird,Cornwall Street (CSPSC),2.0,1.3,0.7
Spirit 5,HK Squash Centre (HKSC),2.142857142857143,1.625,0.5178571428571428
Kwai Tsing District Squash Club 4,Cornwall Street (CSPSC),3.3333333333333335,3.2222222222222223,0.11111111111111116
SKYERS,HK Squash Centre (HKSC),2.75,2.7142857142857144,0.03571428571428559
Royal,Kwun Chung (KCSC),2.4,2.4,0.0
Vocano,Kwun Chung (KCSC),0.6,0.8,-0.20000000000000007
Yuen Long Jr 3,Sir Denys Roberts (SDRSC),2.5454545454545454,2.8181818181818183,-0.27272727272727293
ALL ABOUT SQUASH,HK Squash Centre (HKSC),1.7142857142857142,2.125,-0.4107142857142858
JAMS,HK Squash Centre (HKSC),1.625,2.7142857142857144,-1.0892857142857144
